X,Y,Z,Flood_Depth_m,Velocity_m_s
-533.84,-109.85,156.3,0.108882025,0.08890434
-457.9,-40.5,152.83,0.10886682,0.08889862
-426.71,-351.41,134.69,2.0044794,0.4409473
-426.17,-350.75,134.86,1.7916064,0.43206412
-425.32,-351.34,133.07,1.7320307,0.60276335
-425.23,-351.59,131.75,3.5460393,0.9532286
-425.2,-350.09,132.57,3.1950455,0.88202214
-425.05,-347.72,132.88,1.8306897,0.61788064
-423.28,-346.51,131.68,4.0577493,1.041881
-423.12,-346.38,131.45,4.469023,1.1453047
-422.29,-346.69,131.38,2.0789144,0.6643399
-421.83,-347.43,131.2,3.551502,0.9059574
-421.75,-349.11,131.14,3.3002717,0.8979699
-421.78,-348.61,131.1,3.467887,0.9410699
-421.44,-348.52,131.3,3.4020596,0.93532246
-420.22,-338.37,132.54,1.5940523,0.5816508
-419.75,-338.77,131.85,1.8830199,0.66734606
-419.22,-341.55,129.98,4.193517,1.0894966
-419.18,-341.16,130.37,4.0238447,1.0556861
-419.1,-143.25,156.61,0.10922792,0.089054115
-418.94,-342.72,130.21,3.1763442,0.74781674
-418.59,-340.55,130.54,4.1091228,1.0710394
-418.2,-342.38,130.04,4.1937823,1.0862539
-418.3,-342.31,130.31,3.9303663,1.0365423
-417.6,-339.38,129.67,3.3139665,0.7933578
-417.8,-338.38,130.54,2.2101967,0.687688
-417.02,-338.81,129.84,3.7825818,0.9906985
-416.76,-338.79,129.67,4.1076207,1.0740838
-415.44,-109.28,154.88,0.10923322,0.089056894
-396.05,-308.48,152.99,0.10918703,0.08903723
-377.68,-202.72,154.32,0.1092112,0.08904533
-366.24,-220.5,156.48,0.109227866,0.08905407
-364.83,-217.91,154.42,0.1092279,0.089054115
-359.72,-106.76,153.78,0.10917107,0.0890242
-353.76,-125.35,154.12,0.10920122,0.0890437
-341.22,-143.34,156.43,0.10922011,0.08905002
-334.54,-204.32,155.64,0.10910025,0.08899893
-326.32,-94.69,153.86,0.10899468,0.08895808
-325.77,-192.88,154.56,0.109186865,0.08903732
-320.85,-160.26,157.8,0.10919872,0.08904237
-320.12,-178.14,155.64,0.10918517,0.08903542
-317.88,-168.65,153.57,0.10917112,0.08902421
-308.79,-28.19,155.14,0.109100394,0.089001514
-301.55,-44.97,153.8,0.108985215,0.088946
-298.64,-130.73,155.86,0.1091015,0.08899859
-291.87,27.17,153.62,0.10923376,0.08905719
-283.62,-187.68,154.17,0.10922882,0.08905459
-282.03,-234.97,157.29,0.10917107,0.0890242
-253.91,-12.71,156.69,0.10918387,0.08903579
-243.02,-205.55,152.15,0.10914365,0.089019075
-233.58,-25.64,153.7,0.10918399,0.08903577
-228.33,-51.73,153.36,0.109161116,0.0890254
-223.14,-63.93,152.6,0.109161295,0.089026526
-217.01,-34.61,154.92,0.10908693,0.088995926
-201.78,-253.5,152.84,0.10918375,0.08903574
-187.62,-80.13,154.53,0.10887997,0.08890328
-173.91,-359.86,150.02,0.10917112,0.08902421
-172.93,-81.67,153.14,0.10918242,0.08903532
-164.32,118.14,155.39,0.10922011,0.08905002
-161.01,4.99,155.37,0.109125815,0.08901263
-159.31,-69.68,152.62,0.10922786,0.089054085
-158.83,-75.31,152.24,0.1092279,0.089054115
-135.7,45.74,150.8,0.10901914,0.08896127
-132.83,-332.37,154.28,0.10897332,0.08894255
-132.49,67.58,155.77,0.10914033,0.08901585
-127.66,210.76,152.02,0.1091603,0.08902531
-116.63,-80.39,153.6,0.10898116,0.08894974
-109.83,-29.4,152.77,0.109021775,0.08896315
-98.23,26.23,157.86,0.10915939,0.0890251
-97.32,-11.35,151.37,0.10922882,0.08905459
-97.36,-10.44,154.56,0.109227866,0.08905407
-73.32,-52.45,153.07,0.10917112,0.08902421
-63.76,-34.25,153.57,0.109022275,0.08896244
-39.54,-95.2,154.03,0.1092279,0.089054115
44.81,60.48,150.24,0.10913774,0.08901692
